
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.04
2                       1.03
4                       1.04
8                       1.02
16                      1.01
32                      1.24
64                      1.21
128                     2.14
256                     2.80
512                     3.42

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.14
2                       1.12
4                       1.09
8                       1.04
16                      1.01
32                      1.17
64                      1.17
128                     2.20
256                     2.79
512                     3.33
