
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.30
2                       1.32
4                       1.35
8                       1.35
16                      1.33
32                      1.67
64                      1.61
128                     2.85
256                     3.45
512                     4.32
1024                    6.49
2048                   10.90
4096                   17.82
8192                   28.59
16384                2117.52
32768                 280.75
65536                 367.36

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.38
2                       1.35
4                       4.64
8                       1.31
16                      1.76
32                      1.69
64                      2.86
128                     3.11
256                     3.99
512                     4.63
1024                    5.51
2048                    8.82
4096                   14.97
8192                   30.27
16384                1990.47
32768                 130.21
65536                 233.06
