
# OSU MPI Scatter Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.63
2                       2.30
4                       2.62
8                       3.01
16                      3.46
32                      5.32
64                      6.79
128                    10.58
256                    16.04
512                    98.78
1024                   99.72
2048                  136.54
4096                  188.24
8192                  303.85
