
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.94
2                       0.97
4                       0.97
8                       0.96
16                      0.99
32                      1.15
64                      1.16
128                     2.10
256                     2.75
512                     3.32
1024                    4.20
2048                    5.86
4096                    9.25
8192                   15.91
16384                 126.90
32768                  47.54
65536                  96.32

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.09
2                       1.11
4                       1.09
8                       1.12
16                      1.00
32                      1.20
64                      1.17
128                     2.14
256                     2.70
512                     3.31
1024                    4.19
2048                    5.91
4096                    9.27
8192                   15.94
16384                 128.17
32768                  45.51
65536                  89.45
