
# OSU MPI Scatter Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.19
2                       1.79
4                       2.03
8                       2.47
16                      2.95
32                      4.47
64                      6.57
128                    10.29
256                    15.96
512                    83.53
1024                   92.95
2048                  126.33
4096                  164.56
8192                  246.77
