
# OSU MPI Scatter Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.60
2                       2.19
4                       2.34
8                       2.71
16                      3.33
32                      4.34
64                      6.24
128                    10.20
256                    15.29
512                    93.11
1024                   97.22
2048                  136.11
4096                  185.68
8192                  308.21
16384                 249.63
32768                 347.81
65536                 698.91
