
# OSU MPI Scatter Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.14
2                       1.71
4                       2.07
8                       2.51
16                      3.15
32                      4.42
64                      6.49
128                    10.39
256                    16.10
512                    84.28
1024                   92.23
2048                  126.38
4096                  165.54
8192                  246.68
16384                 130.48
32768                 190.73
65536                 334.25
