
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.36
2                       1.34
4                       1.36
8                       1.34
16                      1.61
32                      1.67
64                      2.14
128                     4.97
256                     4.54
512                     4.93

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.39
2                       1.33
4                       1.39
8                       1.34
16                      1.39
32                      1.95
64                      1.87
128                     3.14
256                     3.80
512                     4.67
